"testcase_id","testcase_name","expected_hazard_id","model","llm_only__ok","llm_only__folder","llm_only__predicted","llm_only__correct","llm_only__final"
"ATC1","AUTO_SEVERE_WINTER_CONDITIONS","hazards:Hazard_Severe_Winter_Conditions","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC1__AUTO_SEVERE_WINTER_CONDITIONS","winter_storm","False","{""hazard_id"":""winter_storm"",""label"":""Winter Storm"",""confidence"":0.95,""evidence"":[""[Knowledge: Event ID 1023458 shows Winter Storm with $5M property damage]""],""notes"":""Highest damage event""}"
"ATC2","AUTO_CLOUD_SERVICE_OUTAGE_/_SYSTEMIC_CLOUD_DE","hazards:Hazard_Cloud_Service_Outage_Systemic_Cloud_Dependency_Failure","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC2__AUTO_CLOUD_SERVICE_OUTAGE___SYSTEMIC_CLOUD_DE","service_disruption","False","{""hazard_id"":""service_disruption"",""label"":""Service Disruption"",""confidence"":0.95,""evidence"":[""[Knowledge: severity=SERVICE_DISRUPTION, product=Compute Engine, location=europe-west1]""],""notes"":""Compute Engine outage in europe-west1""}"
"ATC3","AUTO_ARMED_CONFLICT","hazards:Hazard_Armed_Conflict","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC3__AUTO_ARMED_CONFLICT","armed_conflict","False","{""hazard_id"":""armed_conflict"",""label"":""Armed Conflict"",""confidence"":0.95,""evidence"":[],""notes"":""Government vs Hamas clashes in Israel.""}"
"ATC4","AUTO_TANGANYIKA_LAUGHTER_EPIDEMIC","hazards:Hazard_Tanganyika_Laughter_Epidemic","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC4__AUTO_TANGANYIKA_LAUGHTER_EPIDEMIC","psychogenic_illness","False","{""hazard_id"":""psychogenic_illness"",""label"":""laughter_epidemic"",""confidence"":0.9,""evidence"":[],""notes"":""mass psychogenic outbreak in Tanzanian schools""}"
"ATC5","AUTO_GNSS_DISRUPTION","hazards:Hazard_GNSS_Disruption_Jamming_Spoofing_Outage","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC5__AUTO_GNSS_DISRUPTION","GNSS_INT","False","{""hazard_id"":""GNSS_INT"",""label"":""GPS interference"",""confidence"":0.92,""evidence"":[""[Knowledge:Intermittent GPS signal; reverted to inertial nav]"",""[Knowledge:Reported sudden position offset; RAIM alert]""],""notes"":""Multiple GNSS anomalies suggest intentional interference""}"
"ATC6","AUTO_FLOOD","hazards:Hazard_Flood","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC6__AUTO_FLOOD","flood","False","{""hazard_id"":""flood"",""label"":""High Water Flooding"",""confidence"":0.96,""evidence"":[""sample data for high water ... 5000 liters/minute/m2""],""notes"":""Elevated discharge and gage heights indicate flooding""}"
"ATC7","AUTO_EXTRATERRESTRIAL_THREAT_(ASTEROID_IMPACT","hazards:Hazard_Extraterrestrial_Threat_Asteroid_Impact_Space_Weather","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC7__AUTO_EXTRATERRESTRIAL_THREAT__ASTEROID_IMPACT","asteroid_impact","False","{""hazard_id"":""asteroid_impact"",""label"":""Impact Hazard"",""confidence"":0.92,""evidence"":[""designation,impact_date,impact_probability,impact_energy_mt,palermo_scale,torino_scale""],""notes"":""Observed asteroid impact data""}"
"ATC8","AUTO_CRITICAL_INFRASTRUCTURE_FAILURE","hazards:Hazard_Critical_Infrastructure_Failure","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC8__AUTO_CRITICAL_INFRASTRUCTURE_FAILURE","transmission_outage","False","{""hazard_id"":""transmission_outage"",""label"":""Transmission outage"",""confidence"":0.5,""evidence"":[],""notes"":""Based on first record; ambiguous without context""}"
"ATC9","AUTO_SURFACE_RUPTURE_/_FISSURING","hazards:Hazard_Surface_Rupture_Fissuring","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC9__AUTO_SURFACE_RUPTURE___FISSURING","FR-1","False","{""hazard_id"":""FR-1"",""label"":""fault_rupture"",""confidence"":0.96,""evidence"":[""[Feature FR-1: fault_rupture displacement 1.2m observed via field_mapping]""],""notes"":""Significant fault rupture indicated""}"
"ATC10","AUTO_CIVIL_UNREST","hazards:Hazard_Civil_Unrest","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC10__AUTO_CIVIL_UNREST","conflict","False","{""hazard_id"":""conflict"",""label"":""Armed Conflict"",""confidence"":0.9,""evidence"":[],""notes"":""Government vs Hamas violent clash""}"
"ATC11","AUTO_ST._ELMO'S_FIRE","hazards:Hazard_St_Elmos_Fire","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC11__AUTO_ST._ELMO_S_FIRE","thunderstorm","False","{""hazard_id"":""thunderstorm"",""label"":""Thunderstorm"",""confidence"":0.9,""evidence"":[""KJFK 120251Z ... -RA ... LTG DSNT ALQDS"",""PHNL 32949Z ... TSRA ... RMK TS OHD""],""notes"":""Observed thunderstorm activity with lightning and rain""}"
"ATC12","AUTO_WILDFIRE","hazards:Hazard_Wildfire_General","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC12__AUTO_WILDFIRE","H001","False","{""hazard_id"":""H001"",""label"":""Wildfire"",""confidence"":0.92,""evidence"":[""[Knowledge: FRP values of 12.287 and 35.1 indicate active fires]""],""notes"":""Detected fire radiative power suggests wildfire""}"
"ATC13","AUTO_PACIFIC_HEATWAVE","hazards:Hazard_Pacific_Heatwave","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC13__AUTO_PACIFIC_HEATWAVE","MHW","False","{""hazard_id"":""MHW"",""label"":""Marine Heatwave"",""confidence"":0.9,""evidence"":[""Anomalies of +2.1 to +2.3 °C in SST indicate a marine heatwave""],""notes"":""Elevated SST anomalies""}"
"ATC14","AUTO_CHELYABINSK_METEOR","hazards:Hazard_Chelyabinsk_Meteor","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC14__AUTO_CHELYABINSK_METEOR","METEOR","False","{""hazard_id"":""METEOR"",""label"":""Meteor airburst"",""confidence"":0.92,""evidence"":[""[Knowledge: impact_energy_kt 415.944 and 9.8 suggest meteoroid atmospheric entry]""],""notes"":""High-energy entries indicate meteor events""}"
"ATC15","AUTO_ROCKFALL_(DRY)","hazards:Hazard_Rockfall_Dry","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC15__AUTO_ROCKFALL__DRY","rock_fall","False","{""hazard_id"":""rock_fall"",""label"":""Rockfall"",""confidence"":0.95,""evidence"":[],""notes"":""Observed rock fall events triggered by earthquake and mining.""}"
"ATC16","AUTO_LIGHT_POLLUTION","hazards:Hazard_Light_Pollution","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC16__AUTO_LIGHT_POLLUTION","radiation_anomaly","False","{""hazard_id"":""radiation_anomaly"",""label"":""Radiation Anomaly"",""confidence"":0.3,""evidence"":[""[Snippet: avg_radiance_nW_cm2_sr values 12.34 and 11.98]""],""notes"":""moderate radiance observed""}"
"ATC17","AUTO_ASH_RESUSPENSION_EVENT","hazards:Hazard_Ash_Resuspension_Event","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC17__AUTO_ASH_RESUSPENSION_EVENT","dust_storm","False","{""hazard_id"":""dust_storm"",""label"":""Dust Storm"",""confidence"":0.92,""evidence"":[""[Snippet: dust_aod_550 values 0.65 and 0.58 indicate elevated dust aerosol]""],""notes"":""Elevated AOD suggests dust event""}"
"ATC18","AUTO_ASH_FALL","hazards:Hazard_Ash_Fall","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC18__AUTO_ASH_FALL","volcanic_eruption","False","{""hazard_id"":""volcanic_eruption"",""label"":""Volcanic Eruption"",""confidence"":0.9,""evidence"":[],""notes"":""Based on VEI values indicating eruption activity""}"
"ATC19","AUTO_CHEMICAL_RELEASE","hazards:Hazard_ChemicalRelease","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC19__AUTO_CHEMICAL_RELEASE","unknown","False","{""hazard_id"":""unknown"",""label"":""unknown"",""confidence"":0.1,""evidence"":[],""notes"":""insufficient information""}"
"ATC20","AUTO_EXTRA-TROPICAL_STORM","hazards:Hazard_Extra_Tropical_Storm","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC20__AUTO_EXTRA-TROPICAL_STORM","winter_storm","False","{""hazard_id"":""winter_storm"",""label"":""Winter Storm"",""confidence"":0.9,""evidence"":[],""notes"":""Highest property damage observed""}"
"ATC21","AUTO_EXTREME_WEATHER","hazards:Hazard_Extreme_Weather","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC21__AUTO_EXTREME_WEATHER","","False","{""hazard_id"":"""",""label"":"""",""confidence"":0.0,""evidence"":[],""notes"":""no local context provided""}"
"ATC22","AUTO_NOCTURNAL_TORNADO","hazards:Hazard_Nocturnal_Tornado","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC22__AUTO_NOCTURNAL_TORNADO","winter_storm","False","{""hazard_id"":""winter_storm"",""label"":""Winter Storm"",""confidence"":0.8,""evidence"":[],""notes"":""Highest property damage observed""}"
"ATC23","AUTO_ROGUE_BLACK_HOLE","hazards:Hazard_Rogue_Black_Hole","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC23__AUTO_ROGUE_BLACK_HOLE","microlensing","False","{""hazard_id"":""microlensing"",""label"":""Microlensing Event"",""confidence"":0.85,""evidence"":[""[Knowledge: event data includes tE_days and u0 typical for microlensing]""],""notes"":""Astronomical transient""}"
"ATC24","AUTO_WIND_GUST","hazards:Hazard_Wind_Gust","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC24__AUTO_WIND_GUST","high_wind","False","{""hazard_id"":""high_wind"",""label"":""High Wind Gust"",""confidence"":0.92,""evidence"":[""[Knowledge: wind_speed_m_s=15.4 m/s, wind_gust_m_s=26.964 m/s]""],""notes"":""Strong gusts observed""}"
"ATC25","AUTO_POWER_GRID_FAILURE_/_BLACKOUT","hazards:Hazard_Power_Grid_Failure_Blackout","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC25__AUTO_POWER_GRID_FAILURE___BLACKOUT","power_outage","False","{""hazard_id"":""power_outage"",""label"":""Power Outage"",""confidence"":0.92,""evidence"":[""[Knowledge: timestamp_utc shows outage data with customers_out and outage_pct]""],""notes"":""Observed electricity service interruption""}"
"ATC26","AUTO_EARTHQUAKE","hazards:Hazard_Earthquake","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC26__AUTO_EARTHQUAKE","earthquake","False","{""hazard_id"":""earthquake"",""label"":""Earthquake"",""confidence"":0.96,""evidence"":[""[Snippet: 2026-02-19T22:14:12.340Z,37.766,-122.534,8.7,2.6,ml,\""10 km WSW of San Francisco, CA\"",nc74910871]""],""notes"":""Detected seismic event""}"
"ATC27","AUTO_SUDDEN_SUBSIDENCE_(WET)","hazards:Hazard_Sudden_Subsidence_Wet","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC27__AUTO_SUDDEN_SUBSIDENCE__WET","ground_subsidence","False","{""hazard_id"":""ground_subsidence"",""label"":""Subsidence"",""confidence"":0.78,""evidence"":[""[Data: increasing negative LOS displacement, decreasing coherence]""],""notes"":""Observed downward movement suggests subsidence.""}"
"ATC28","AUTO_SOIL_CONTAMINATION","hazards:Hazard_Soil_Contamination","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC28__AUTO_SOIL_CONTAMINATION","soil_contamination","False","{""hazard_id"":""soil_contamination"",""label"":""contaminated soil"",""confidence"":0.85,""evidence"":[""[Snippet: Silresim Chemical Corp., Iron Mountain Mine]""],""notes"":""industrial chemical and metal contamination""}"
"ATC29","AUTO_STRUCTURAL_COLLAPSE","hazards:Hazard_Structural_Collapse","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC29__AUTO_STRUCTURAL_COLLAPSE","COLLAPSE","False","{""hazard_id"":""COLLAPSE"",""label"":""Structural Collapse"",""confidence"":0.96,""evidence"":[""Partial wall collapse during renovation"",""Scaffold/structure collapse""],""notes"":""Observed building and scaffold collapses""}"
"ATC30","AUTO_WAR","hazards:Hazard_War","gpt-oss-120b","True","scenario_runs_compare/20260224T124304Z/llm_only/gpt-oss-120b/ATC30__AUTO_WAR","conflict","False","{""hazard_id"":""conflict"",""label"":""Armed Conflict"",""confidence"":0.95,""evidence"":[],""notes"":""Government-Hamas clashes in Israel""}"
